Título,Autor,F/M,Editora,Data de publicação,Categoria,Idioma,Numero de páginas,Nacionalidade,Gênero,GPS
Como decifrar mentes,David J. Lieberman,M,Sextante,2022,Linguagem corporal,Português,254,Estados Unidos,Psicologia,SP
Pequeno manual antirracista,Djamila Ribeiro,F,Companhia das Letras,2019,Filosofia,Português,135,Brasil,Ensaio,SP
A história secreta,Donna Tartt,F,Companhia das Letras,1992,Romance moderno,Português,557,Estados Unidos,Mistério,SP
O guia definitivo do mochileiro das galáxias,Douglas Adams,M,Del Rey,1979,Romance,Inglês,815,Inglaterra,Ficção científica,SP
O guia do mochileiro das galáxias,Douglas Adams,M,Arqueiro,1979,Romance,Português,208,Inglaterra,Ficção científica,BA
O restaurante no fim do universo,Douglas Adams,M,Arqueiro,1980,Romance,Português,240,Inglaterra,Ficção científica,BA
"A vida, o universo e tudo mais",Douglas Adams,M,Arqueiro,1982,Romance,Português,224,Inglaterra,Ficção científica,BA
"Até mais, e obrigado pelos peixes",Douglas Adams,M,Arqueiro,1984,Romance,Português,208,Inglaterra,Ficção científica,BA
Praticamente inofensiva,Douglas Adams,M,Arqueiro,1992,Romance,Português,208,Inglaterra,Ficção científica,BA
Los mejores cuentos de Edgar Allan Poe,Edgar Allan Poe,M,Mestas Ediciones,1830,Contos e crônicas,Espanhol,188,Estados Unidos,Poesia,SP
78 tons de tarot,Eliana Ferreira de Souza,F,Tarotfarm,2022,Bruxas,Português,264,Brasil,Cultura,SP
O morro dos ventos uivantes,Emily Brontê,F,Lafonte,1847,Romance,Português,320,Inglaterra,Clássico,BA
A arte de viver - Encheiridion,Epiteto,M,Camelot,100,Filosofia,Português,80,Roma Antiga,Estoicismo,SP
Manual de Epiteto - A arte de viver melhor,Epiteto,M,Edipro,100,Filosofia,Português,95,Roma Antiga,Estoicismo,SP
Prometeu acorrentado,Ésquilo,M,Martin Claret,-450,Mitologia,Português,120,Grécia Antiga,Tragédia/Teatro,SP
Medeia,Eurípides,M,Editora 34,-431,Mitologia,Português,190,Grécia Antiga,Tragédia/Teatro,SP
Gente pobre,Fiódor Dostoiévski,M,Principis,1846,Romance,Português,159,Russia,Realismo,SP
Memórias do subsolo,Fiódor Dostoiévski,M,Penguin Companhia,1864,Romance,Português,183,Russia,Ficção,SP
O grande Gatsby,Francis Scott Fitzgerald,M,Pé da Letra,1925,Romance,Português,191,Estados Unidos,Clássico,SP
Diários,Franz Kafka,M,L&PM Editores,1910,Bibliografia,Português,287,Tchecoslováquia,Diarios,SP
Metamorfose e outras histórias,Franz Kafka,M,Penguin Companhia,1912,Contos e crônicas,Inglês,257,Tchecoslováquia,Terror gótico,SP
Assim falava Zaratustra,Friedrich Nietzsche,M,Pé da Letra,1884,Filosofia,Português,288,Alemanha,Estoicismo,SP
Revolução dos bichos,George Orwell,M,Companhia das Letras,1945,Romance,Português,147,Reino Unido,Ficção,SP
1984,George Orwell,M,Companhia das Letras,1949,Romance,Português,414,Reino Unido,Ficção científica,SP
A filosofia crítica de Kant,Gilles Deleuze,M,Autêntica,1963,Filosofia,Português,94,França,Não ficção,SP
Os sofrimentos do jovem Werther,Goethe,M,Penguin Companhia,1774,Romance,Português,216,Alemanha,Clássico,BA
A ilha do Dr. Moreau,H. G. Wells,M,Principis,1896,Romance,Português,144,Reino Unido,Clássico,SP
O sol é para todos,Harper Lee,M,José Olympio,1960,Romance,Português,349,Estados Unidos,Clássico,BA
As minas do rei Salomão,Henry Rider Haggard,M,ViaLeitura,1885,Romance,Português,255,Reino Unido,Aventura,SP
Demian,Hermann Hesse,M,Lucemar,1919,Romance,Espanhol,189,Alemanha,Romance,SP
Teogonia e trabalhos e dias,Hesíodo,M,Martin Claret,-700,Mitologia,Português,153,Grécia Antiga,Tragédia/Teatro,SP
Ilíada,Homero,M,Penguin Companhia,-750,Mitologia,Português,714,Grécia Antiga,Épico,SP
Odisseia,Homero,M,Penguin Companhia,-725,Mitologia,Português,574,Grécia Antiga,Épico,SP
Contos de fadas dos irmãos Grimm,Irmãos Grimm,M,Principis,2019,Romance moderno,Português,304,Alemanha,Fábula,SP
O apanhador no campo de centeio,J. D. Salinger,M,Todavia,1951,Romance,Português,253,Estados Unidos,Clássico,SP
Harry Potter e a pedra filosofal,J. K. Vomito,F,Bloomsbury,1997,Romance moderno,Inglês,332,Inglaterra,Juvenil,SP
Harry Potter e a pedra filosofal,J. K. Vomito,F,Rocco,1997,Romance moderno,Português,264,Inglaterra,Juvenil,BA
Harry Potter e a câmara secreta,J. K. Vomito,F,Bloomsbury,1998,Romance moderno,Inglês,366,Inglaterra,Juvenil,SP
Harry Potter e a câmara secreta,J. K. Vomito,F,Rocco,1998,Romance moderno,Português,288,Inglaterra,Juvenil,BA
Harry Potter e o prisioneiro de Azkaban,J. K. Vomito,F,Rocco,1999,Romance moderno,Português,348,Inglaterra,Juvenil,BA
